time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 239, 16.117155, 1, 61, 2, 16, 23
1, 243, 16.176955, 1, 82, 2, 15, 23
2, 291, 13.216495, 1, 83, 2, 12, 20
3, 233, 16.381974, 0, 82, 2, 14, 24
4, 223, 17.762332, 1, 91, 3, 17, 24
5, 247, 15.465587, 1, 80, 2, 15, 23
6, 239, 16.242678, 1, 82, 3, 14, 23
7, 267, 14.415730, 1, 87, 2, 12, 22
8, 261, 15.038314, 1, 87, 3, 14, 22
9, 228, 16.903509, 1, 79, 3, 16, 24
10, 248, 15.584677, 1, 84, 2, 14, 22
11, 259, 14.930502, 1, 79, 2, 14, 23
12, 217, 17.723502, 1, 99, 2, 16, 25
13, 235, 16.506383, 1, 74, 2, 16, 23
14, 256, 15.171875, 0, 98, 1, 14, 24
15, 243, 15.950617, 1, 65, 3, 14, 23
16, 260, 14.742308, 1, 71, 3, 12, 22
17, 240, 16.295833, 0, 85, 2, 16, 25
18, 227, 17.088106, 1, 76, 2, 17, 25
19, 243, 15.880658, 0, 90, 2, 15, 24
20, 230, 16.621739, 1, 76, 2, 16, 24
21, 238, 16.474790, 1, 83, 3, 13, 26
22, 287, 13.397213, 0, 60, 3, 13, 20
23, 231, 16.645022, 1, 78, 2, 16, 25
24, 240, 16.316667, 1, 86, 2, 16, 23
25, 235, 16.340426, 0, 93, 2, 16, 24
26, 276, 13.934783, 1, 70, 2, 11, 21
27, 294, 13.210884, 1, 90, 2, 11, 20
28, 248, 15.471774, 1, 64, 3, 14, 22
29, 253, 15.332016, 1, 73, 2, 16, 22
30, 274, 14.003650, 1, 68, 2, 12, 20
31, 246, 15.930894, 1, 81, 2, 15, 25
32, 228, 16.311404, 1, 91, 2, 16, 24
33, 269, 14.866171, 1, 100, 2, 13, 21
34, 251, 15.346614, 1, 81, 2, 13, 23
35, 247, 15.773279, 1, 85, 3, 14, 23
36, 243, 15.823045, 1, 91, 2, 14, 24
37, 234, 16.559829, 1, 102, 2, 15, 24
38, 270, 14.288889, 1, 62, 2, 12, 21
39, 232, 16.668103, 1, 77, 2, 15, 25
40, 249, 15.642570, 1, 67, 2, 15, 25
41, 221, 17.271493, 1, 72, 2, 17, 24
42, 270, 14.503704, 1, 73, 2, 12, 23
43, 244, 15.815574, 1, 61, 3, 14, 24
44, 236, 16.487288, 1, 197, 2, 12, 21
45, 267, 14.400749, 1, 72, 2, 14, 21
46, 245, 15.869388, 0, 92, 2, 13, 24
47, 263, 14.612167, 1, 113, 2, 13, 22
48, 240, 16.308333, 1, 93, 2, 16, 23
49, 283, 13.526502, 1, 94, 1, 12, 21
50, 262, 14.629771, 1, 79, 2, 13, 23
51, 242, 16.107438, 1, 80, 3, 14, 23
52, 276, 13.996377, 0, 94, 2, 14, 21
53, 271, 14.166052, 1, 95, 2, 12, 21
54, 244, 15.885246, 0, 79, 2, 14, 22
55, 242, 16.045455, 0, 82, 3, 15, 23
56, 244, 15.668033, 1, 64, 2, 15, 24
57, 231, 16.740260, 1, 91, 2, 14, 25
58, 263, 14.832700, 0, 83, 1, 13, 23
59, 285, 13.512281, 1, 71, 2, 12, 20
